Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
0,0,0,60,0,0,0,40,0,0,0,0,0,0,0,0,0,0,50.00003745,49.99992509,3.75E-05,0,0,0,0,0,0,0,0,0,0,0,45,55,0,0,0,0
0,0,0,11.3,0,0,88.7,0,0,0,0,0,75.00187515,24.9962497,0.001875148,6.11E-10,4.63E-21,0,0,0,0,0,0,0,0,0,76,24,0,0,0,0,0,0,0,0,0,0
0,0,0,23.3,0,0,76.7,0,0,0,0,0,39.01684496,60.9663101,0.01684492,1.97E-08,5.41E-19,0,0,0,0,0,0,0,0,0,33,67,0,0,0,0,0,0,0,0,0,0
0,0,0,31.3,0,0,68.7,0,0,0,0,0,9.075015849,90.84996854,0.075015367,2.41E-07,1.76E-17,0,0,0,0,0,0,0,0,0,9,91,0,0,0,0,0,0,0,0,0,0
0,0,0,37.8,0,0,62.2,0,0,0,0,0,0,79.20430889,21.37144333,0.017601481,2.95E-10,0,0,0,0,0,0,0,0,0,0,79,21,0,0,0,0,0,0,0,0,0
0,0,0,39.7,0,0,60.3,0,0,0,0,0,0,69.22851186,31.32303739,0.041804451,1.14E-09,0,0,0,0,0,0,0,0,0,0,68,32,0,0,0,0,0,0,0,0,0
0,0,0,45.1,0,0,54.9,0,0,0,0,0,0,37.43327129,62.91351855,0.246563842,1.92E-08,0,0,0,0,0,0,0,0,0,0,38,62,0,0,0,0,0,0,0,0,0
0,0,0,1.82,0,0,98.18,0,0,0,0,0,96.00003199,3.999936025,3.20E-05,7.89E-13,2.39E-25,0,0,0,0,0,0,0,0,0,95.66,4.34,0,0,0,0,0,0,0,0,0,0
0,0,0,5.11,0,0,94.89,0,0,0,0,0,89.00030811,10.99938378,0.00030811,3.57E-11,9.00E-23,0,0,0,0,0,0,0,0,0,88.76,11.24,0,0,0,0,0,0,0,0,0,0
0,0,0,12.33,0,0,87.67,0,0,0,0,0,72.00242402,27.99515197,0.002424014,9.13E-10,8.04E-21,0,0,0,0,0,0,0,0,0,71.06,28.94,0,0,0,0,0,0,0,0,0,0
