Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
15.01,0,0,0,0,0,0,0,64.52,20.47,0,0,0,0,0,0,0,0,0,0,0,14.39071396,18.03696543,6.048221067,0,0,0,0,0,0,0,0,0,0,0,7.13599247,13.60813037,10.47705612
30,0,0,0,0,0,0,0,40,30,0,0,0,0,0,0,0,0,0,0,0,3.284575469,42.5437182,0.313424661,0,0,0,0,0,0,0,0,0,0,0,1.598401598,41.75824176,1.098901099
30,0,0,0,0,0,0,0,65,5,0,0,0,0,0,0,0,0,0,0,0,26.79883919,7.108131389,0.034725754,0,0,0,0,0,0,0,0,0,0,0,28.67132867,6.893106893,0.2997003
0,0,0,0,47,0,46,0,0,7,0,0,0.677089555,25.38334938,43.01078933,7.497522198,0.097998128,0,0,0,0,0,23.33333333,4.78E-11,0,0,0.718996893,21.55231319,43.1755838,10.9492386,0.270534185,0,0,0,0,0,21.14,2.193333333
0,0,0,0,30,0,60,0,0,10,0,0,29.88559968,39.24788187,5.769089823,0.097498165,7.51E-05,0,0,0,0,0,24.88571014,0.114289865,0,0,28.65317892,38.22633984,7.838918302,0.280428199,0.001134739,0,0,0,0,0,23.775,1.225
0,0,0,0,13,0,76,0,0,11,0,0,47.37112001,29.24001396,0.939026074,0.00091739,0,0,0,0,0,0,15.99790793,6.451071662,0,0,73.70177799,3.820963593,0.028249049,2.98E-05,2.50E-09,0,0,0,0,0,22.44897959,0
0,0,0,0,49.87,0,41.12,9.01,0,0,0,0,1.737504672,29.92687152,33.53417578,4.288331189,0.043045825,0,1.972541994,28.49752901,1.70E-08,0,0,0,0,0,0,54.72368404,12.84523087,0.829684279,1.1313298,0,0,9.571452457,20.89861856,0,0,0
0,0,0,0,52.25,0,43.29,4.46,0,0,0,0,0.101980277,15.41397249,51.97328714,15.11520363,0.310706822,0,0.118684247,16.96616538,2.09E-08,0,0,0,0,0,0,55.42946515,19.54537614,3.206663273,4.733645785,0,0,10.06937163,7.015478016,0,0,0
0,0,0,0,48.04,0,38.16,13.8,0,0,0,0,6.613783533,33.48249971,16.82107672,1.105793184,0.006043938,0,8.407814295,33.56298861,1.05E-08,0,0,0,0,0,0,50.61435523,4.405920519,1.934306569,1.074614761,0,0,32.95675753,9.014045387,0,0,0
13.77620708,0,0,0,0,0,17,68,0,0,11.06350193,0.047602475,6.71E-06,6.36E-11,1.32E-16,0,0,70.9365349,17.95232386,3.01E-05,3.03E-17,0,0,0,11.11111111,0,0,0,0,0,0,71.13636811,17.75252078,0,0,0,0,0
34.27604542,0,0,0,0,0,13,52,0,0,10.8853822,0.225570561,0.000158341,7.78E-09,8.75E-14,0,0,30.11533234,58.77300035,0.00055619,3.08E-15,0,0,0,6.544351682,4.566759429,0,0,0,0,0,30.94274861,57.94614028,0,0,0,0,0
30.58377673,0,0,0,0,0,37.8,32.2,0,0,35.25742168,1.726062986,0.002816381,3.19E-07,8.17E-12,0,0,4.746907284,58.2652794,0.001511951,2.09E-14,0,0,0,0,0,36.98630137,0,0,0,0,2.659529826,60.3541688,0,0,0,0,0
36.67803215,0,0,0,0,0,9.8,50.2,0,0,8.673281109,0.219452716,0.000188124,1.13E-08,1.56E-13,0,0,24.32770256,66.77857996,0.000795523,5.47E-15,0,0,0,4.588747731,0,4.304174229,0,0,0,0,28.03294709,63.07413095,0,0,0,0,0
5.075254097,0,0,0,0,0,21.3,58.3,0,0,15.42068273,0.025291382,1.23E-06,3.59E-12,1.95E-18,0,0,77.57932247,6.974698222,3.96E-06,1.21E-18,0,0,0,12.75837563,0.46337926,2.22422045,0,0,0,0,78.38158086,6.1724438,0,0,0,0,0
19.2628542,0,0,0,0,0,10.4,69.6,0,0,6.908731513,0.043131173,8.97E-06,1.28E-10,4.08E-16,0,0,67.09134278,25.95672024,6.53E-05,9.96E-17,0,0,0,6.951871658,0,0,0,0,0,0,67.53077459,25.51735376,0,0,0,0,0
19.98918773,0,0,0,0,0,39.4,40.6,0,0,32.26267254,0.407138688,0.00017218,5.03E-09,3.32E-14,0,0,34.73767511,32.59216601,0.000175464,5.62E-16,0,0,0,6.408342901,0,26.26164052,0,0,0,0,34.1849312,33.14508538,0,0,0,0,0
