Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM
36.31,0,0,0,0,0,63.69,0,0,0,0,0,5.07,76.42,17.96,0.55,0.01,0,0,0,0,0,0,0
36.51,0,0,0,0,0,63.49,0,0,0,0,0,4.69,76.22,18.51,0.58,0.01,0,0,0,0,0,0,0
36.71,0,0,0,0,0,63.29,0,0,0,0,0,4.32,75.98,19.07,0.61,0.01,0,0,0,0,0,0,0
36.91,0,0,0,0,0,63.09,0,0,0,0,0,3.98,75.71,19.65,0.65,0.01,0,0,0,0,0,0,0
37.11,0,0,0,0,0,62.89,0,0,0,0,0,3.65,75.41,20.24,0.69,0.01,0,0,0,0,0,0,0
37.3,0,0,0,0,0,62.7,0,0,0,0,0,3.34,75.07,20.85,0.73,0.01,0,0,0,0,0,0,0
37.5,0,0,0,0,0,62.5,0,0,0,0,0,3.04,74.7,21.47,0.77,0.01,0,0,0,0,0,0,0
37.69,0,0,0,0,0,62.31,0,0,0,0,0,2.77,74.3,22.1,0.82,0.01,0,0,0,0,0,0,0
37.89,0,0,0,0,0,62.11,0,0,0,0,0,2.51,73.86,22.75,0.87,0.01,0,0,0,0,0,0,0
38.08,0,0,0,0,0,61.92,0,0,0,0,0,2.28,73.39,23.4,0.92,0.01,0,0,0,0,0,0,0
38.27,0,0,0,0,0,61.73,0,0,0,0,0,2.05,72.89,24.07,0.97,0.01,0,0,0,0,0,0,0
38.46,0,0,0,0,0,61.54,0,0,0,0,0,1.85,72.36,24.75,1.03,0.01,0,0,0,0,0,0,0
38.65,0,0,0,0,0,61.35,0,0,0,0,0,1.66,71.81,25.43,1.09,0.02,0,0,0,0,0,0,0
38.84,0,0,0,0,0,61.16,0,0,0,0,0,1.48,71.22,26.13,1.15,0.02,0,0,0,0,0,0,0
39.02,0,0,0,0,0,60.98,0,0,0,0,0,1.32,70.61,26.83,1.22,0.02,0,0,0,0,0,0,0
39.21,0,0,0,0,0,60.79,0,0,0,0,0,1.18,69.97,27.54,1.29,0.02,0,0,0,0,0,0,0
39.39,0,0,0,0,0,60.61,0,0,0,0,0,1.04,69.31,28.26,1.36,0.02,0,0,0,0,0,0,0
39.58,0,0,0,0,0,60.42,0,0,0,0,0,0.92,68.64,28.98,1.43,0.02,0,0,0,0,0,0,0
39.76,0,0,0,0,0,60.24,0,0,0,0,0,0.82,67.94,29.71,1.51,0.03,0,0,0,0,0,0,0
39.94,0,0,0,0,0,60.06,0,0,0,0,0,0.72,67.22,30.44,1.6,0.03,0,0,0,0,0,0,0
40.12,0,0,0,0,0,59.88,0,0,0,0,0,0.63,66.48,31.17,1.68,0.03,0,0,0,0,0,0,0
40.3,0,0,0,0,0,59.7,0,0,0,0,0,0.55,65.74,31.91,1.77,0.03,0,0,0,0,0,0,0
40.48,0,0,0,0,0,59.52,0,0,0,0,0,0.48,64.97,32.64,1.86,0.04,0,0,0,0,0,0,0
40.65,0,0,0,0,0,59.35,0,0,0,0,0,0.42,64.2,33.38,1.96,0.04,0,0,0,0,0,0,0
40.83,0,0,0,0,0,59.17,0,0,0,0,0,0.36,63.42,34.12,2.06,0.04,0,0,0,0,0,0,0
41,0,0,0,0,0,59,0,0,0,0,0,0.32,62.62,34.85,2.17,0.05,0,0,0,0,0,0,0
41.18,0,0,0,0,0,58.82,0,0,0,0,0,0.27,61.82,35.58,2.27,0.05,0,0,0,0,0,0,0
41.35,0,0,0,0,0,58.65,0,0,0,0,0,0.24,61.02,36.31,2.38,0.05,0,0,0,0,0,0,0
41.52,0,0,0,0,0,58.48,0,0,0,0,0,0.2,60.21,37.04,2.5,0.06,0,0,0,0,0,0,0
41.69,0,0,0,0,0,58.31,0,0,0,0,0,0.17,59.39,37.76,2.62,0.06,0,0,0,0,0,0,0
41.86,0,0,0,0,0,58.14,0,0,0,0,0,0.15,58.57,38.48,2.74,0.06,0,0,0,0,0,0,0
42.03,0,0,0,0,0,57.97,0,0,0,0,0,0.13,57.75,39.19,2.87,0.07,0,0,0,0,0,0,0
42.2,0,0,0,0,0,57.8,0,0,0,0,0,0.11,56.93,39.9,2.99,0.07,0,0,0,0,0,0,0
42.36,0,0,0,0,0,57.64,0,0,0,0,0,0.09,56.1,40.6,3.13,0.08,0,0,0,0,0,0,0
42.53,0,0,0,0,0,57.47,0,0,0,0,0,0.08,55.28,41.29,3.27,0.08,0,0,0,0,0,0,0
42.69,0,0,0,0,0,57.31,0,0,0,0,0,0.07,54.46,41.98,3.41,0.09,0,0,0,0,0,0,0
42.86,0,0,0,0,0,57.14,0,0,0,0,0,0.06,53.63,42.66,3.55,0.1,0,0,0,0,0,0,0
43.02,0,0,0,0,0,56.98,0,0,0,0,0,0.05,52.81,43.34,3.7,0.1,0,0,0,0,0,0,0
43.18,0,0,0,0,0,56.82,0,0,0,0,0,0.04,51.99,44.01,3.85,0.11,0,0,0,0,0,0,0
43.34,0,0,0,0,0,56.66,0,0,0,0,0,0.03,51.17,44.67,4.01,0.12,0,0,0,0,0,0,0
43.5,0,0,0,0,0,56.5,0,0,0,0,0,0.03,50.36,45.32,4.17,0.12,0,0,0,0,0,0,0
43.66,0,0,0,0,0,56.34,0,0,0,0,0,0.02,49.55,45.97,4.33,0.13,0,0,0,0,0,0,0
43.82,0,0,0,0,0,56.18,0,0,0,0,0,0.02,48.74,46.6,4.5,0.14,0,0,0,0,0,0,0
43.98,0,0,0,0,0,56.02,0,0,0,0,0,0.02,47.94,47.23,4.67,0.15,0,0,0,0,0,0,0
44.13,0,0,0,0,0,55.87,0,0,0,0,0,0.01,47.13,47.85,4.84,0.16,0,0,0,0,0,0,0
44.29,0,0,0,0,0,55.71,0,0,0,0,0,0.01,46.34,48.46,5.02,0.17,0,0,0,0,0,0,0
44.44,0,0,0,0,0,55.56,0,0,0,0,0,0.01,45.54,49.07,5.2,0.18,0,0,0,0,0,0,0
44.6,0,0,0,0,0,55.4,0,0,0,0,0,0.01,44.75,49.66,5.39,0.19,0,0,0,0,0,0,0
44.75,0,0,0,0,0,55.25,0,0,0,0,0,0.01,43.97,50.24,5.58,0.2,0,0,0,0,0,0,0
44.9,0,0,0,0,0,55.1,0,0,0,0,0,0,43.19,50.82,5.78,0.21,0,0,0,0,0,0,0
45.05,0,0,0,0,0,54.95,0,0,0,0,0,0,42.41,51.38,5.98,0.22,0,0,0,0,0,0,0
45.21,0,0,0,0,0,54.79,0,0,0,0,0,0,41.64,51.94,6.18,0.23,0,0,0,0,0,0,0
45.36,0,0,0,0,0,54.64,0,0,0,0,0,0,40.88,52.49,6.39,0.25,0,0,0,0,0,0,0
45.5,0,0,0,0,0,54.5,0,0,0,0,0,0,40.12,53.02,6.6,0.26,0,0,0,0,0,0,0
45.65,0,0,0,0,0,54.35,0,0,0,0,0,0,39.36,53.55,6.81,0.28,0,0,0,0,0,0,0
45.8,0,0,0,0,0,54.2,0,0,0,0,0,0,38.61,54.07,7.03,0.29,0,0,0,0,0,0,0
45.95,0,0,0,0,0,54.05,0,0,0,0,0,0,37.86,54.58,7.25,0.31,0,0,0,0,0,0,0
