Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6err,Si5err,Si4err,Si3err,Si2err,Si1err,Si0err,P3err,P2err,P1err,P0err,B4err,Al4err,Al6err
0.0,0.0,49.46452227,0.0,0.0,0.0,50.53547773,0.0,0.0,0.0,0.0,0.0,0.0,-0.6546035299999993,0.7321585099999908,-0.12050643599999944,0.04295145400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,70.9,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7872369600000013,0.6978783169999998,-0.670208583
0.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,59.5,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4526240200000018,4.1700190400000015,-4.63016909
0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,49.7,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6182192079999984,7.597444020000001,-8.142598002
0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999722900000023,1.3371203130000007,-1.237367311
0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6572129700000033,1.8676882700000004,-2.1150236849999997
0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40416508000000206,3.4089560000000017,-3.493130559
0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5449570900000005,4.498355989999997,-4.211374659999999
0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6957448179999997,5.63497538,-5.613248807
0.0,9.90990991,0.0,0.0,0.0,0.0,0.0,0.0,90.09009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05636368000000047,0.0,0.0
0.0,15.25423729,0.0,0.0,0.0,0.0,0.0,0.0,84.74576271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16463936999999973,0.0,0.0
0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34009565999999936,0.0,0.0
0.0,24.81203008,0.0,0.0,0.0,0.0,0.0,0.0,75.18796992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6383106799999965,0.0,0.0
0.0,33.33333333,0.0,0.0,0.0,0.0,0.0,0.0,66.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4419401000000036,0.0,0.0
0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8537474900000035,0.0,0.0
0.0,41.17647059,0.0,0.0,0.0,0.0,0.0,0.0,58.82352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.358922020000001,0.0,0.0
0.0,45.05494505,0.0,0.0,0.0,0.0,0.0,0.0,54.94505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1663053199999993,0.0,0.0
0.0,54.95495495,0.0,0.0,0.0,0.0,0.0,0.0,45.04504505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8991052900000014,0.0,0.0
0.0,58.33333333,0.0,0.0,0.0,0.0,0.0,0.0,41.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1547817299999998,0.0,0.0
0.0,64.9122807,0.0,0.0,0.0,0.0,0.0,0.0,35.087719299999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.958115060000001,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002753139999995824,-0.00550628000000053,0.00275314,9e-19,0.0,0.0,0.0
0.0,18.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012575319999996282,-0.02515063999999967,0.012575319,9.84e-18,0.0,0.0,0.0
